# utt_id	n_segments	relpath  (relative to SPANMARK_CORPUS_ROOT)
CON_T_0020338	114	train/con_wav/CON_T_0020338.wav
CON_T_0022606	95	train/con_wav/CON_T_0022606.wav
CON_T_0001579	195	train/con_wav/CON_T_0001579.wav
CON_T_0019495	183	train/con_wav/CON_T_0019495.wav
CON_T_0001756	156	train/con_wav/CON_T_0001756.wav
CON_T_0021050	141	train/con_wav/CON_T_0021050.wav
CON_T_0013648	202	train/con_wav/CON_T_0013648.wav
CON_T_0004309	205	train/con_wav/CON_T_0004309.wav
CON_T_0007886	187	train/con_wav/CON_T_0007886.wav
CON_T_0001598	109	train/con_wav/CON_T_0001598.wav
LA_T_3922252	195	train/con_wav/LA_T_3922252.wav
CON_T_0003427	95	train/con_wav/CON_T_0003427.wav
CON_T_0019782	111	train/con_wav/CON_T_0019782.wav
CON_T_0010066	183	train/con_wav/CON_T_0010066.wav
CON_T_0011949	372	train/con_wav/CON_T_0011949.wav
CON_T_0011423	432	train/con_wav/CON_T_0011423.wav
CON_T_0024500	239	train/con_wav/CON_T_0024500.wav
CON_T_0022260	139	train/con_wav/CON_T_0022260.wav
LA_T_8747878	135	train/con_wav/LA_T_8747878.wav
CON_T_0010835	105	train/con_wav/CON_T_0010835.wav
CON_T_0006034	100	train/con_wav/CON_T_0006034.wav
CON_T_0007551	129	train/con_wav/CON_T_0007551.wav
CON_T_0008551	202	train/con_wav/CON_T_0008551.wav
CON_T_0016564	210	train/con_wav/CON_T_0016564.wav
CON_T_0024786	158	train/con_wav/CON_T_0024786.wav
CON_T_0021890	209	train/con_wav/CON_T_0021890.wav
CON_T_0004554	233	train/con_wav/CON_T_0004554.wav
CON_T_0013446	219	train/con_wav/CON_T_0013446.wav
CON_T_0010571	204	train/con_wav/CON_T_0010571.wav
CON_T_0006779	238	train/con_wav/CON_T_0006779.wav
CON_T_0008438	89	train/con_wav/CON_T_0008438.wav
CON_T_0003910	139	train/con_wav/CON_T_0003910.wav
CON_T_0023709	106	train/con_wav/CON_T_0023709.wav
CON_T_0013431	368	train/con_wav/CON_T_0013431.wav
CON_T_0013645	208	train/con_wav/CON_T_0013645.wav
CON_T_0010326	131	train/con_wav/CON_T_0010326.wav
CON_T_0009027	369	train/con_wav/CON_T_0009027.wav
CON_T_0013481	305	train/con_wav/CON_T_0013481.wav
CON_T_0008833	129	train/con_wav/CON_T_0008833.wav
CON_T_0022181	183	train/con_wav/CON_T_0022181.wav
LA_T_3607190	143	train/con_wav/LA_T_3607190.wav
CON_T_0013122	217	train/con_wav/CON_T_0013122.wav
CON_T_0021247	128	train/con_wav/CON_T_0021247.wav
CON_T_0023434	128	train/con_wav/CON_T_0023434.wav
CON_T_0018363	236	train/con_wav/CON_T_0018363.wav
CON_T_0017786	351	train/con_wav/CON_T_0017786.wav
CON_T_0000779	135	train/con_wav/CON_T_0000779.wav
LA_T_3387982	164	train/con_wav/LA_T_3387982.wav
CON_T_0023905	166	train/con_wav/CON_T_0023905.wav
CON_T_0003904	390	train/con_wav/CON_T_0003904.wav
CON_T_0005692	208	train/con_wav/CON_T_0005692.wav
CON_T_0010448	174	train/con_wav/CON_T_0010448.wav
CON_T_0004382	141	train/con_wav/CON_T_0004382.wav
CON_T_0009492	290	train/con_wav/CON_T_0009492.wav
CON_T_0016519	284	train/con_wav/CON_T_0016519.wav
CON_T_0000508	178	train/con_wav/CON_T_0000508.wav
CON_T_0012959	87	train/con_wav/CON_T_0012959.wav
LA_T_2267510	218	train/con_wav/LA_T_2267510.wav
CON_T_0022862	580	train/con_wav/CON_T_0022862.wav
CON_T_0002387	127	train/con_wav/CON_T_0002387.wav
CON_T_0010773	56	train/con_wav/CON_T_0010773.wav
CON_T_0011840	128	train/con_wav/CON_T_0011840.wav
CON_T_0007780	135	train/con_wav/CON_T_0007780.wav
CON_T_0004343	367	train/con_wav/CON_T_0004343.wav
LA_T_4485359	154	train/con_wav/LA_T_4485359.wav
CON_T_0013449	178	train/con_wav/CON_T_0013449.wav
CON_T_0002076	168	train/con_wav/CON_T_0002076.wav
CON_T_0019152	326	train/con_wav/CON_T_0019152.wav
CON_T_0018206	213	train/con_wav/CON_T_0018206.wav
CON_T_0023162	96	train/con_wav/CON_T_0023162.wav
CON_T_0024230	150	train/con_wav/CON_T_0024230.wav
CON_T_0006986	226	train/con_wav/CON_T_0006986.wav
CON_T_0018240	194	train/con_wav/CON_T_0018240.wav
CON_T_0006051	193	train/con_wav/CON_T_0006051.wav
CON_T_0002178	132	train/con_wav/CON_T_0002178.wav
LA_T_5187822	179	train/con_wav/LA_T_5187822.wav
CON_T_0022395	224	train/con_wav/CON_T_0022395.wav
CON_T_0009634	144	train/con_wav/CON_T_0009634.wav
CON_T_0002444	205	train/con_wav/CON_T_0002444.wav
CON_T_0009686	104	train/con_wav/CON_T_0009686.wav
CON_T_0001046	152	train/con_wav/CON_T_0001046.wav
CON_T_0001891	204	train/con_wav/CON_T_0001891.wav
CON_T_0024657	222	train/con_wav/CON_T_0024657.wav
CON_T_0011115	107	train/con_wav/CON_T_0011115.wav
CON_T_0022888	109	train/con_wav/CON_T_0022888.wav
CON_T_0007751	147	train/con_wav/CON_T_0007751.wav
CON_T_0018276	165	train/con_wav/CON_T_0018276.wav
CON_T_0025286	188	train/con_wav/CON_T_0025286.wav
CON_T_0019403	619	train/con_wav/CON_T_0019403.wav
LA_T_8816234	141	train/con_wav/LA_T_8816234.wav
LA_T_5547883	203	train/con_wav/LA_T_5547883.wav
CON_T_0015845	150	train/con_wav/CON_T_0015845.wav
CON_T_0008264	165	train/con_wav/CON_T_0008264.wav
LA_T_8344139	190	train/con_wav/LA_T_8344139.wav
CON_T_0014925	136	train/con_wav/CON_T_0014925.wav
CON_T_0000722	91	train/con_wav/CON_T_0000722.wav
CON_T_0023128	165	train/con_wav/CON_T_0023128.wav
CON_T_0007678	417	train/con_wav/CON_T_0007678.wav
CON_T_0008345	153	train/con_wav/CON_T_0008345.wav
CON_T_0024870	180	train/con_wav/CON_T_0024870.wav
CON_T_0016085	423	train/con_wav/CON_T_0016085.wav
CON_T_0022985	113	train/con_wav/CON_T_0022985.wav
CON_T_0023147	228	train/con_wav/CON_T_0023147.wav
CON_T_0007555	78	train/con_wav/CON_T_0007555.wav
CON_T_0014484	111	train/con_wav/CON_T_0014484.wav
CON_T_0018437	156	train/con_wav/CON_T_0018437.wav
CON_T_0021409	177	train/con_wav/CON_T_0021409.wav
CON_T_0013345	166	train/con_wav/CON_T_0013345.wav
CON_T_0002928	149	train/con_wav/CON_T_0002928.wav
CON_T_0003599	189	train/con_wav/CON_T_0003599.wav
LA_T_6144753	139	train/con_wav/LA_T_6144753.wav
CON_T_0017378	324	train/con_wav/CON_T_0017378.wav
CON_T_0001113	73	train/con_wav/CON_T_0001113.wav
LA_T_1269847	156	train/con_wav/LA_T_1269847.wav
LA_T_8847275	160	train/con_wav/LA_T_8847275.wav
CON_T_0007455	65	train/con_wav/CON_T_0007455.wav
CON_T_0004414	216	train/con_wav/CON_T_0004414.wav
CON_T_0009679	295	train/con_wav/CON_T_0009679.wav
CON_T_0007716	136	train/con_wav/CON_T_0007716.wav
CON_T_0021712	111	train/con_wav/CON_T_0021712.wav
CON_T_0013577	61	train/con_wav/CON_T_0013577.wav
CON_T_0008653	134	train/con_wav/CON_T_0008653.wav
CON_T_0009635	218	train/con_wav/CON_T_0009635.wav
CON_T_0004476	98	train/con_wav/CON_T_0004476.wav
CON_T_0009949	181	train/con_wav/CON_T_0009949.wav
CON_T_0000903	111	train/con_wav/CON_T_0000903.wav
CON_T_0019303	173	train/con_wav/CON_T_0019303.wav
CON_T_0020204	215	train/con_wav/CON_T_0020204.wav
CON_T_0010669	192	train/con_wav/CON_T_0010669.wav
CON_T_0013199	75	train/con_wav/CON_T_0013199.wav
CON_T_0007572	117	train/con_wav/CON_T_0007572.wav
CON_T_0021027	339	train/con_wav/CON_T_0021027.wav
CON_T_0020178	164	train/con_wav/CON_T_0020178.wav
CON_T_0019128	194	train/con_wav/CON_T_0019128.wav
CON_T_0003780	163	train/con_wav/CON_T_0003780.wav
LA_T_5404480	167	train/con_wav/LA_T_5404480.wav
CON_T_0015561	177	train/con_wav/CON_T_0015561.wav
CON_T_0005459	117	train/con_wav/CON_T_0005459.wav
CON_T_0010512	85	train/con_wav/CON_T_0010512.wav
CON_T_0012856	162	train/con_wav/CON_T_0012856.wav
CON_T_0003307	206	train/con_wav/CON_T_0003307.wav
CON_T_0016989	125	train/con_wav/CON_T_0016989.wav
CON_T_0022107	115	train/con_wav/CON_T_0022107.wav
LA_T_7006038	182	train/con_wav/LA_T_7006038.wav
CON_T_0020638	128	train/con_wav/CON_T_0020638.wav
CON_T_0011034	88	train/con_wav/CON_T_0011034.wav
CON_T_0010920	158	train/con_wav/CON_T_0010920.wav
CON_T_0011193	185	train/con_wav/CON_T_0011193.wav
CON_T_0010357	188	train/con_wav/CON_T_0010357.wav
CON_T_0019027	227	train/con_wav/CON_T_0019027.wav
CON_T_0001880	254	train/con_wav/CON_T_0001880.wav
LA_T_5294797	259	train/con_wav/LA_T_5294797.wav
CON_T_0001427	127	train/con_wav/CON_T_0001427.wav
LA_T_4927126	205	train/con_wav/LA_T_4927126.wav
CON_T_0017432	74	train/con_wav/CON_T_0017432.wav
CON_T_0011213	474	train/con_wav/CON_T_0011213.wav
CON_T_0000412	128	train/con_wav/CON_T_0000412.wav
CON_T_0023109	135	train/con_wav/CON_T_0023109.wav
CON_T_0007473	199	train/con_wav/CON_T_0007473.wav
CON_T_0013400	183	train/con_wav/CON_T_0013400.wav
CON_T_0006867	155	train/con_wav/CON_T_0006867.wav
LA_T_1831818	214	train/con_wav/LA_T_1831818.wav
CON_T_0024237	378	train/con_wav/CON_T_0024237.wav
CON_T_0008197	172	train/con_wav/CON_T_0008197.wav
CON_T_0009596	336	train/con_wav/CON_T_0009596.wav
CON_T_0023360	232	train/con_wav/CON_T_0023360.wav
CON_T_0005416	195	train/con_wav/CON_T_0005416.wav
CON_T_0024208	325	train/con_wav/CON_T_0024208.wav
CON_T_0021835	141	train/con_wav/CON_T_0021835.wav
CON_T_0015527	217	train/con_wav/CON_T_0015527.wav
CON_T_0021319	115	train/con_wav/CON_T_0021319.wav
CON_T_0021956	98	train/con_wav/CON_T_0021956.wav
CON_T_0001860	168	train/con_wav/CON_T_0001860.wav
CON_T_0013479	134	train/con_wav/CON_T_0013479.wav
CON_T_0021529	338	train/con_wav/CON_T_0021529.wav
CON_T_0022504	216	train/con_wav/CON_T_0022504.wav
CON_T_0008734	304	train/con_wav/CON_T_0008734.wav
LA_T_7661468	128	train/con_wav/LA_T_7661468.wav
CON_T_0022053	117	train/con_wav/CON_T_0022053.wav
LA_T_6370833	128	train/con_wav/LA_T_6370833.wav
CON_T_0001494	202	train/con_wav/CON_T_0001494.wav
CON_T_0018101	214	train/con_wav/CON_T_0018101.wav
CON_T_0014034	145	train/con_wav/CON_T_0014034.wav
LA_T_1787246	141	train/con_wav/LA_T_1787246.wav
CON_T_0000010	134	train/con_wav/CON_T_0000010.wav
CON_T_0009710	156	train/con_wav/CON_T_0009710.wav
CON_T_0023241	152	train/con_wav/CON_T_0023241.wav
CON_T_0014540	115	train/con_wav/CON_T_0014540.wav
CON_T_0021736	167	train/con_wav/CON_T_0021736.wav
CON_T_0005381	399	train/con_wav/CON_T_0005381.wav
CON_T_0015120	123	train/con_wav/CON_T_0015120.wav
CON_T_0012414	77	train/con_wav/CON_T_0012414.wav
CON_T_0024358	122	train/con_wav/CON_T_0024358.wav
CON_T_0012160	127	train/con_wav/CON_T_0012160.wav
CON_T_0022642	77	train/con_wav/CON_T_0022642.wav
CON_T_0016516	164	train/con_wav/CON_T_0016516.wav
CON_T_0003193	112	train/con_wav/CON_T_0003193.wav
CON_T_0013333	119	train/con_wav/CON_T_0013333.wav
CON_T_0012421	274	train/con_wav/CON_T_0012421.wav
CON_T_0022156	110	train/con_wav/CON_T_0022156.wav
CON_T_0009098	315	train/con_wav/CON_T_0009098.wav
CON_T_0008346	211	train/con_wav/CON_T_0008346.wav
CON_T_0025367	117	train/con_wav/CON_T_0025367.wav
CON_T_0014262	166	train/con_wav/CON_T_0014262.wav
CON_T_0021661	133	train/con_wav/CON_T_0021661.wav
CON_T_0002490	170	train/con_wav/CON_T_0002490.wav
CON_T_0014808	149	train/con_wav/CON_T_0014808.wav
CON_T_0007989	198	train/con_wav/CON_T_0007989.wav
CON_T_0015253	232	train/con_wav/CON_T_0015253.wav
CON_T_0012306	227	train/con_wav/CON_T_0012306.wav
CON_T_0013879	136	train/con_wav/CON_T_0013879.wav
CON_T_0017561	133	train/con_wav/CON_T_0017561.wav
CON_T_0008879	119	train/con_wav/CON_T_0008879.wav
CON_T_0004726	159	train/con_wav/CON_T_0004726.wav
LA_T_6995687	203	train/con_wav/LA_T_6995687.wav
LA_T_3686789	209	train/con_wav/LA_T_3686789.wav
CON_T_0008091	140	train/con_wav/CON_T_0008091.wav
CON_T_0011447	117	train/con_wav/CON_T_0011447.wav
CON_T_0011123	321	train/con_wav/CON_T_0011123.wav
CON_T_0008005	106	train/con_wav/CON_T_0008005.wav
CON_T_0011712	237	train/con_wav/CON_T_0011712.wav
CON_T_0007730	176	train/con_wav/CON_T_0007730.wav
CON_T_0014174	173	train/con_wav/CON_T_0014174.wav
CON_T_0023076	262	train/con_wav/CON_T_0023076.wav
CON_T_0022894	211	train/con_wav/CON_T_0022894.wav
CON_T_0017197	136	train/con_wav/CON_T_0017197.wav
CON_T_0004144	167	train/con_wav/CON_T_0004144.wav
LA_T_6108044	192	train/con_wav/LA_T_6108044.wav
CON_T_0003117	205	train/con_wav/CON_T_0003117.wav
CON_T_0023642	162	train/con_wav/CON_T_0023642.wav
CON_T_0022160	154	train/con_wav/CON_T_0022160.wav
CON_T_0005399	198	train/con_wav/CON_T_0005399.wav
CON_T_0017987	333	train/con_wav/CON_T_0017987.wav
CON_T_0002415	93	train/con_wav/CON_T_0002415.wav
CON_T_0023890	276	train/con_wav/CON_T_0023890.wav
CON_T_0002089	160	train/con_wav/CON_T_0002089.wav
CON_T_0012992	145	train/con_wav/CON_T_0012992.wav
CON_T_0007047	107	train/con_wav/CON_T_0007047.wav
CON_T_0021450	196	train/con_wav/CON_T_0021450.wav
CON_T_0014472	350	train/con_wav/CON_T_0014472.wav
CON_T_0013523	275	train/con_wav/CON_T_0013523.wav
CON_T_0003275	178	train/con_wav/CON_T_0003275.wav
LA_T_9807464	209	train/con_wav/LA_T_9807464.wav
CON_T_0004294	210	train/con_wav/CON_T_0004294.wav
CON_T_0000945	231	train/con_wav/CON_T_0000945.wav
CON_T_0008075	124	train/con_wav/CON_T_0008075.wav
CON_T_0005885	206	train/con_wav/CON_T_0005885.wav
CON_T_0010899	173	train/con_wav/CON_T_0010899.wav
CON_T_0013296	127	train/con_wav/CON_T_0013296.wav
CON_T_0023188	94	train/con_wav/CON_T_0023188.wav
CON_T_0012665	116	train/con_wav/CON_T_0012665.wav
CON_T_0014178	125	train/con_wav/CON_T_0014178.wav
CON_T_0022633	103	train/con_wav/CON_T_0022633.wav
CON_T_0014378	117	train/con_wav/CON_T_0014378.wav
CON_T_0021217	126	train/con_wav/CON_T_0021217.wav
CON_T_0016819	134	train/con_wav/CON_T_0016819.wav
CON_T_0002938	80	train/con_wav/CON_T_0002938.wav
CON_T_0009297	186	train/con_wav/CON_T_0009297.wav
CON_T_0000549	120	train/con_wav/CON_T_0000549.wav
CON_T_0012772	128	train/con_wav/CON_T_0012772.wav
CON_T_0002479	105	train/con_wav/CON_T_0002479.wav
CON_T_0007533	127	train/con_wav/CON_T_0007533.wav
CON_T_0019050	313	train/con_wav/CON_T_0019050.wav
CON_T_0011675	200	train/con_wav/CON_T_0011675.wav
CON_T_0010804	226	train/con_wav/CON_T_0010804.wav
CON_T_0009370	126	train/con_wav/CON_T_0009370.wav
CON_T_0017113	247	train/con_wav/CON_T_0017113.wav
CON_T_0020961	153	train/con_wav/CON_T_0020961.wav
CON_T_0009558	132	train/con_wav/CON_T_0009558.wav
CON_T_0010937	120	train/con_wav/CON_T_0010937.wav
CON_T_0022759	153	train/con_wav/CON_T_0022759.wav
CON_T_0023611	187	train/con_wav/CON_T_0023611.wav
CON_T_0006124	73	train/con_wav/CON_T_0006124.wav
CON_T_0011708	279	train/con_wav/CON_T_0011708.wav
CON_T_0001647	319	train/con_wav/CON_T_0001647.wav
CON_T_0005664	115	train/con_wav/CON_T_0005664.wav
CON_T_0015383	159	train/con_wav/CON_T_0015383.wav
CON_T_0005472	128	train/con_wav/CON_T_0005472.wav
CON_T_0020620	75	train/con_wav/CON_T_0020620.wav
LA_T_9504498	162	train/con_wav/LA_T_9504498.wav
CON_T_0013918	95	train/con_wav/CON_T_0013918.wav
CON_T_0018827	129	train/con_wav/CON_T_0018827.wav
CON_T_0010013	172	train/con_wav/CON_T_0010013.wav
CON_T_0016302	89	train/con_wav/CON_T_0016302.wav
